Feature,Q1,Q3,IQR,IQR_Lower_Bound,IQR_Upper_Bound,Median,MAD,Modified_Z_Threshold,Valid_Minimum,Valid_Maximum,IQR_Flag_Count,Modified_Z_Flag_Count,Domain_Error_Count
Happiness_Score,4.237500,6.260000,2.022500,1.203750,9.293750,4.995000,1.190000,3.500000,0.000000,10.000000,0,0,0
GDP_per_Capita,0.907500,1.395000,0.487500,0.176250,2.126250,1.170000,0.245000,3.500000,0.000000,,0,0,0
Social_Support,0.522500,0.772500,0.250000,0.147500,1.147500,0.570000,0.070000,3.500000,0.000000,1.000000,0,1,0
Healthy_Life_Expectancy,51.175000,73.300000,22.125000,17.987500,106.487500,61.350000,10.600000,3.500000,0.000000,120.000000,0,0,0
Freedom_to_Make_Choices,0.472500,0.862500,0.390000,-0.112500,1.447500,0.665000,0.200000,3.500000,0.000000,1.000000,0,0,0
Generosity,0.160000,0.415000,0.255000,-0.222500,0.797500,0.310000,0.140000,3.500000,0.000000,1.000000,0,0,0
Perceptions_of_Corruption,0.192500,0.732500,0.540000,-0.617500,1.542500,0.525000,0.260000,3.500000,0.000000,1.000000,0,0,0
